year,decade,observed,forecast,historic average,STDEV Q,STDEV deltaQ
2006,1,41.899999999999999,nan,38.763855421686749,8.463704117788872,3.335671492508209
2006,2,40.200000000000003,nan,37.456626506024094,7.557554656315186,2.750334043238673
2006,3,40.399999999999999,nan,36.593975903614457,7.218545718639955,1.9641736823614497
2006,4,45.799999999999997,nan,36.350602409638554,6.935563590336685,2.9068125519991113
2006,5,76.700000000000003,nan,36.330120481927707,8.346062821441823,4.315845988237024
2006,6,43.100000000000001,nan,36.862650602409637,8.588544708255341,5.756207856417002
2006,7,49.5,nan,39.404761904761905,9.99889035725278,6.319245380615396
2006,8,58.399999999999999,nan,47.572619047619042,20.364316483226986,16.897701852114693
2006,9,75.099999999999994,nan,60.483333333333334,22.606480749721975,13.864377669349162
2006,10,128.0,nan,86.370238095238108,35.77737314083148,23.51841513676118
2006,11,140.0,nan,136.13452380952381,60.29840552957487,41.32492361192991
2006,12,220.0,nan,190.67380952380952,80.0095688841249,48.179943879738296
2006,13,255.0,nan,234.62738095238097,86.85741168226397,59.634211185507674
2006,14,399.0,nan,265.92261904761904,93.12068002586552,59.38809443132177
2006,15,359.0,nan,284.15476190476193,91.22030714091235,64.14691751501502
2006,16,274.0,nan,327.52380952380952,98.45180781692692,60.3838683799558
2006,17,258.0,nan,325.41666666666669,114.66023231923967,67.23524926365342
2006,18,246.0,nan,309.06190476190477,110.54092182869566,54.3370414490576
2006,19,194.0,nan,264.26904761904763,105.95601949182465,47.61491561820459
2006,20,130.0,nan,213.03333333333333,84.80126637684408,34.79397760815659
2006,21,125.0,nan,169.21686746987953,68.20466120126822,27.81787278764537
2006,22,108.0,nan,134.82976190476188,51.33348746074425,22.35115234538518
2006,23,87.099999999999994,nan,111.03095238095241,38.811807221578,16.272628315691083
2006,24,72.799999999999997,nan,91.036904761904751,26.900923886861655,14.28250552747253
2006,25,62.0,nan,76.98571428571428,21.1356784110018,7.449807857918768
2006,26,59.600000000000001,nan,67.014285714285705,17.089841574040925,5.52960425670774
2006,27,57.5,nan,60.49761904761904,14.235023634586039,5.557147429230288
2006,28,56.5,54.471000000000011,56.503614457831326,12.147442225836363,4.361916775311723
2006,29,62.899999999999999,53.789000000000016,54.210843373493965,11.560635606293905,4.512334940769608
2006,30,74.900000000000006,57.323999999999998,52.773493975903627,11.669744958624998,5.316580389213461
2006,31,73.900000000000006,67.793000000000035,51.263855421686742,12.402572297253432,5.15168962237873
2006,32,67.200000000000003,69.731000000000037,49.156626506024089,12.141314197069928,5.0163825060454235
2006,33,55.299999999999997,62.785000000000046,46.134939759036151,10.424132808699243,6.293803537913034
2006,34,51.799999999999997,53.206000000000024,43.569879518072284,8.894129811693684,3.6248274554373787
2006,35,50.0,49.635999999999996,41.310843373493981,8.15065480009373,2.681055313908799
2006,36,47.299999999999997,48.496000000000024,39.579518072289162,8.027327700350583,2.5801743045129935
2007,1,46.200000000000003,45.152999999999999,38.763855421686749,8.463704117788872,3.335671492508209
2007,2,42.899999999999999,44.947999999999986,37.456626506024094,7.557554656315186,2.750334043238673
2007,3,38.5,42.027999999999992,36.593975903614457,7.218545718639955,1.9641736823614497
2007,4,38.799999999999997,36.825000000000003,36.350602409638554,6.935563590336685,2.9068125519991113
2007,5,39.600000000000001,39.029999999999994,36.330120481927707,8.346062821441823,4.315845988237024
2007,6,39.200000000000003,41.088000000000008,36.862650602409637,8.588544708255341,5.756207856417002
2007,7,39.100000000000001,40.957999999999991,39.404761904761905,9.99889035725278,6.319245380615396
2007,8,46.399999999999999,50.731000000000016,47.572619047619042,20.364316483226986,16.897701852114693
2007,9,105.0,56.420999999999992,60.483333333333334,22.606480749721975,13.864377669349162
2007,10,111.0,138.29400000000004,86.370238095238108,35.77737314083148,23.51841513676118
2007,11,334.0,140.93500000000003,136.13452380952381,60.29840552957487,41.32492361192991
2007,12,371.0,337.63999999999999,190.67380952380952,80.0095688841249,48.179943879738296
2007,13,420.0,396.5,234.62738095238097,86.85741168226397,59.634211185507674
2007,14,398.0,415.98000000000002,265.92261904761904,93.12068002586552,59.38809443132177
2007,15,324.0,419.68000000000001,284.15476190476193,91.22030714091235,64.14691751501502
2007,16,414.0,332.43000000000001,327.52380952380952,98.45180781692692,60.3838683799558
2007,17,407.0,395.75,325.41666666666669,114.66023231923967,67.23524926365342
2007,18,430.0,373.63,309.06190476190477,110.54092182869566,54.3370414490576
2007,19,307.0,351.80000000000001,264.26904761904763,105.95601949182465,47.61491561820459
2007,20,250.0,246.97,213.03333333333333,84.80126637684408,34.79397760815659
2007,21,200.0,192.72999999999999,169.21686746987953,68.20466120126822,27.81787278764537
2007,22,148.0,155.84999999999999,134.82976190476188,51.33348746074425,22.35115234538518
2007,23,122.0,122.02,111.03095238095241,38.811807221578,16.272628315691083
2007,24,102.0,101.71499999999997,91.036904761904751,26.900923886861655,14.28250552747253
2007,25,90.099999999999994,88.547000000000011,76.98571428571428,21.1356784110018,7.449807857918768
2007,26,81.5,76.845999999999961,67.014285714285705,17.089841574040925,5.52960425670774
2007,27,73.5,71.221000000000046,60.49761904761904,14.235023634586039,5.557147429230288
2007,28,67.400000000000006,66.819000000000017,56.503614457831326,12.147442225836363,4.361916775311723
2007,29,60.700000000000003,63.13600000000001,54.210843373493965,11.560635606293905,4.512334940769608
2007,30,56.799999999999997,55.810000000000002,52.773493975903627,11.669744958624998,5.316580389213461
2007,31,52.600000000000001,53.11400000000004,51.263855421686742,12.402572297253432,5.15168962237873
2007,32,50.0,51.377000000000017,49.156626506024089,12.141314197069928,5.0163825060454235
2007,33,51.299999999999997,48.443999999999996,46.134939759036151,10.424132808699243,6.293803537913034
2007,34,45.600000000000001,48.538000000000032,43.569879518072284,8.894129811693684,3.6248274554373787
2007,35,42.299999999999997,44.644000000000005,41.310843373493981,8.15065480009373,2.681055313908799
2007,36,39.799999999999997,40.673999999999999,39.579518072289162,8.027327700350583,2.5801743045129935
2008,1,42.100000000000001,39.885999999999996,38.763855421686749,8.463704117788872,3.335671492508209
2008,2,40.299999999999997,39.621000000000002,37.456626506024094,7.557554656315186,2.750334043238673
2008,3,40.299999999999997,39.773999999999994,36.593975903614457,7.218545718639955,1.9641736823614497
2008,4,40.5,38.985999999999997,36.350602409638554,6.935563590336685,2.9068125519991113
2008,5,41.0,40.986999999999995,36.330120481927707,8.346062821441823,4.315845988237024
2008,6,39.899999999999999,40.742999999999988,36.862650602409637,8.588544708255341,5.756207856417002
2008,7,44.100000000000001,41.426000000000023,39.404761904761905,9.99889035725278,6.319245380615396
2008,8,65.299999999999997,46.445000000000007,47.572619047619042,20.364316483226986,16.897701852114693
2008,9,93.0,77.066999999999993,60.483333333333334,22.606480749721975,13.864377669349162
2008,10,100.0,124.55200000000001,86.370238095238108,35.77737314083148,23.51841513676118
2008,11,91.200000000000003,129.25000000000003,136.13452380952381,60.29840552957487,41.32492361192991
2008,12,114.0,130.20099999999999,190.67380952380952,80.0095688841249,48.179943879738296
2008,13,166.0,153.221,234.62738095238097,86.85741168226397,59.634211185507674
2008,14,272.0,199.821,265.92261904761904,93.12068002586552,59.38809443132177
2008,15,231.0,279.14999999999998,284.15476190476193,91.22030714091235,64.14691751501502
2008,16,268.0,225.75,327.52380952380952,98.45180781692692,60.3838683799558
2008,17,197.0,nan,325.41666666666669,114.66023231923967,67.23524926365342
2008,18,136.0,nan,309.06190476190477,110.54092182869566,54.3370414490576
2008,19,108.0,nan,264.26904761904763,105.95601949182465,47.61491561820459
2008,20,89.799999999999997,nan,213.03333333333333,84.80126637684408,34.79397760815659
2008,21,79.900000000000006,nan,169.21686746987953,68.20466120126822,27.81787278764537
2008,22,71.700000000000003,nan,134.82976190476188,51.33348746074425,22.35115234538518
2008,23,65.299999999999997,nan,111.03095238095241,38.811807221578,16.272628315691083
2008,24,57.0,nan,91.036904761904751,26.900923886861655,14.28250552747253
2008,25,52.100000000000001,nan,76.98571428571428,21.1356784110018,7.449807857918768
2008,26,45.5,nan,67.014285714285705,17.089841574040925,5.52960425670774
2008,27,48.700000000000003,nan,60.49761904761904,14.235023634586039,5.557147429230288
2008,28,50.5,nan,56.503614457831326,12.147442225836363,4.361916775311723
2008,29,53.899999999999999,nan,54.210843373493965,11.560635606293905,4.512334940769608
