year,decade,observed,forecast,historic average,STDEV Q,STDEV deltaQ
2006,31,47.700000000000003,39.830999999999975,34.804938271604939,8.456179711231426,2.707249070710746
2006,32,42.899999999999999,46.091999999999992,32.938271604938272,8.196456061939736,2.8862605564986676
2006,33,35.899999999999999,38.068999999999988,30.523456790123458,6.4781801380661355,3.355745487634272
2006,34,32.299999999999997,33.206999999999987,28.851851851851851,5.854850790394046,2.0797977406409762
2006,35,29.0,30.671000000000014,27.22716049382716,5.44178307969178,1.8216428618281315
2006,36,26.800000000000001,27.411000000000005,25.874074074074077,5.154773946978127,1.5552400473683383
2007,1,25.100000000000001,25.644000000000002,24.966666666666665,4.876951776933843,2.103634421133524
2007,2,14.300000000000001,24.232999999999993,23.817857142857143,4.6325241165253885,1.590672665744514
2007,3,22.800000000000001,17.054000000000009,23.339285714285715,4.183617442517375,1.5252944751097552
2007,4,23.600000000000001,22.653000000000002,22.864285714285714,4.094299382734011,1.2051970793193945
2007,5,23.100000000000001,24.728000000000002,22.993975903614462,4.499657152185837,1.818431767608276
2007,6,23.300000000000001,23.773000000000007,23.593975903614453,5.173934423052386,2.4863529957574797
2007,7,23.0,26.31600000000001,25.222891566265055,6.56298425021625,3.324210161845599
2007,8,24.899999999999999,26.404999999999994,29.928915662650603,11.74461506207058,9.005003343637606
2007,9,51.200000000000003,30.047999999999981,36.734523809523814,12.698415554778315,7.939549932432664
2007,10,55.600000000000001,74.01100000000001,49.775903614457825,19.821579705951212,14.044115456650928
2007,11,119.0,99.688000000000017,71.466265060240957,26.58573465412641,18.298071432816258
2007,12,121.0,152.00999999999999,98.221428571428561,33.00805696251476,22.145124615266518
2007,13,145.0,146.19999999999999,121.19285714285715,31.73020599462402,25.719865143403002
2007,14,143.0,162.66999999999999,139.61785714285713,35.573721723774575,23.959241872069683
2007,15,138.0,173.69999999999999,157.39642857142857,36.68671486154336,26.685265423182127
2007,16,174.0,178.47999999999999,191.38095238095238,47.3204672501106,28.223960145176914
2007,17,180.0,219.63,207.95783132530121,59.746638073561556,39.95031762505323
2007,18,211.0,209.33000000000001,218.42530120481928,66.91988993651654,34.367827796106965
2007,19,168.0,195.53999999999999,207.42289156626504,67.74717764853203,33.599803918938655
2007,20,146.0,147.0,179.87023809523811,53.91300395195346,26.27971919380197
2007,21,128.0,123.20999999999999,153.47857142857143,43.91088201551387,21.50237425015141
