1934,10,5,5,72,67,1,11,3,87,151,50,51,41,10,10,20,8,0,0,0,12,0,0,19,19,16,0,10,0,10,28,5,11,44,23,50
1935,,,,28,7,3,21,73,57,8,5,41,4,6,2,15,13,46,9,0,0,0,0,0,1,0,0,16,28,7,30,32,45,21,6,20
1936,0,14,4,40,14,5,11,69,38,64,36,27,28,18,1,0,3,0,0,5,29,0,0,22,0,0,0,0,0,15,0,0,14,18,16,20
1937,4,17,44,7,2,15,20,5,17,49,65,0,71,13,19,7,7,0,7,0,0,1,0,0,5,0,0,15,0,45,74,2,0,19,11,4
1938,31,4,29,11,24,110,7,17,38,22,6,9,0,16,5,1,1,0,2,2,0,0,0,0,0,0,0,21,6,0,0,21,39,30,77,4
1939,33,22,37,41,9,29,40,0,37,10,28,8,16,19,0,0,0,0,4,0,0,0,0,0,1,1,0,2,25,16,81,10,0,55,55,8
1940,38,54,12,52,89,24,6,14,41,50,5,7,103,52,10,2,1,0,17,0,0,0,0,0,2,0,6,11,36,96,10,12,3,29,30,67
1941,42,44,80,18,43,87,23,71,49,60,32,41,6,0,47,0,3,0,0,0,0,0,0,4,1,0,2,4,0,0,31,52,3,64,42,37
1942,16,11,75,38,0,10,111,61,65,50,50,15,32,2,98,0,22,1,0,0,0,0,1,0,0,0,0,12,0,23,53,32,55,3,10,9
1943,5,60,25,33,93,5,18,56,98,0,52,40,26,13,24,8,1,0,0,0,0,0,0,14,0,1,0,0,39,69,44,8,10,26,176,8
1944,10,24,12,12,7,23,5,2,24,2,42,75,0,10,2,0,1,2,0,0,0,0,2,0,0,0,3,27,5,44,51,17,22,9,4,15
1945,17,22,50,6,7,101,27,18,131,1,62,31,24,12,0,22,1,6,0,0,0,1,0,2,0,0,0,0,1,33,39,78,39,39,56,7
1946,18,23,20,50,16,5,5,39,62,73,3,24,10,0,1,8,8,0,2,4,0,0,2,0,0,25,0,34,0,15,25,14,8,0,65,23
1947,39,60,32,21,10,4,19,7,29,2,58,13,23,66,30,14,20,7,0,0,10,0,0,0,0,14,22,5,37,39,79,15,15,29,16,40
1948,32,7,20,2,44,16,73,22,68,66,58,77,12,11,6,0,8,5,0,0,0,0,0,0,16,0,0,2,0,25,0,9,6,122,65,26
1949,0,9,58,20,58,18,48,42,74,45,36,94,48,76,48,31,0,2,0,0,0,0,37,3,6,0,0,4,13,10,48,0,8,0,8,30
1950,37,69,18,6,8,8,52,0,26,2,21,4,4,14,25,6,13,0,5,0,0,0,0,3,0,1,0,0,18,18,24,9,94,22,28,42
1951,44,6,34,15,31,24,14,14,0,0,30,3,13,21,37,10,17,7,21,8,0,0,0,0,0,3,1,53,45,57,28,42,16,27,7,80
1952,12,8,64,85,29,22,71,56,36,68,60,41,61,34,0,31,12,0,18,0,11,0,0,1,0,10,0,4,1,5,11,24,28,24,42,10
1953,30,7,28,12,13,68,121,26,111,33,6,45,41,1,14,24,4,7,0,0,0,3,0,0,0,0,0,85,68,35,84,14,73,35,25,38
1954,83,30,20,30,27,51,18,84,46,52,29,26,0,11,5,8,14,23,2,9,2,4,34,1,0,0,0,0,0,0,19,0,61,2,33,5
1955,0,0,16,15,24,11,116,74,7,34,39,0,46,4,0,5,14,1,8,12,0,0,0,0,0,0,0,0,0,17,7,49,10,35,23,64
1956,11,33,8,14,38,56,46,35,26,39,36,13,9,11,7,16,6,0,0,0,0,0,0,0,0,0,6,16,0,5,0,0,40,0,13,71
1957,8,7,52,17,26,0,30,63,34,17,6,2,1,0,3,25,59,0,1,6,9,0,11,0,0,0,0,0,66,19,6,77,14,18,47,16
1958,21,50,27,33,28,8,58,98,96,109,88,53,71,68,11,20,6,8,0,2,0,7,0,16,0,1,0,10,0,9,37,7,26,64,39,76
1959,10,0,13,91,9,3,18,108,100,156,0,3,8,0,5,24,16,0,3,3,2,2,1,0,0,0,0,2,25,20,23,62,53,69,44,59
1960,16,78,25,18,29,82,105,18,42,61,0,65,71,101,24,0,0,9,0,2,0,0,0,0,1,4,1,0,9,58,28,1,48,38,1,0
1961,0,4,27,0,32,34,29,61,2,23,41,14,13,1,7,18,0,0,0,6,0,12,0,0,0,0,0,13,0,20,0,31,40,11,21,28
1962,58,13,1,44,13,11,4,13,18,8,106,48,8,38,15,7,20,0,2,0,0,0,0,0,0,4,0,0,27,64,98,69,13,81,11,75
1963,22,0,3,23,36,24,76,18,14,68,28,126,57,28,12,7,32,0,10,0,1,21,0,0,0,1,1,0,20,22,79,26,23,84,9,86
1964,29,14,41,57,2,43,100,41,44,81,50,32,20,22,4,0,5,10,0,9,10,0,0,0,15,0,0,0,0,4,0,13,17,0,14,21
1965,1,16,46,23,39,19,3,44,25,15,27,18,4,12,1,0,6,18,3,0,0,0,0,8,0,0,8,9,86,69,155,25,0,2,0,9
1966,10,75,40,64,1,0,87,79,13,16,19,2,50,3,0,0,4,0,2,9,0,1,4,0,10,0,8,44,51,6,10,0,25,0,69,83
