year,decade,observed,forecast,historic average,STDEV Q,STDEV deltaQ
2012,15,274.0,331.45200000000017,300.80937500000005,135.55158278454272,35.09130821384221
2012,18,149.33333333333334,154.05433333333337,203.63020833333334,98.66402249635284,31.942866986858828
2012,21,50.033333333333331,69.322000000000031,112.61944444444444,51.2125522960003,18.314465487067814
2012,24,60.800000000000004,51.739333333333342,70.341666666666669,21.981541964441508,8.765431811058027
2012,27,53.933333333333337,61.820333333333338,64.249824561403514,16.00651158402296,5.783285349855405
2012,30,64.566666666666663,62.204666666666682,61.959298245614029,18.762089674622242,4.80847032182627
2012,33,72.766666666666666,56.173666666666662,53.173333333333325,13.427628973804572,3.417803478062659
2012,36,57.70000000000001,60.195333333333423,46.216491228070176,9.857112579686314,2.2589475903525513
2013,3,57.166666666666664,56.202333333333307,45.681944444444447,10.019252714213126,2.208284754078408
2013,6,73.399999999999991,68.444000000000017,60.039930555555557,17.99992632849879,8.09094212943773
2013,9,139.0,248.32666666666668,149.55972222222221,68.5779419835974,31.46696270048266
2013,12,222.0,261.84500000000025,268.63368055555554,114.79577762828075,36.02630763231133
2013,15,284.66666666666669,206.51966666666667,300.80937500000005,135.55158278454272,35.09130821384221
2013,18,129.73333333333332,195.60433333333333,203.63020833333334,98.66402249635284,31.942866986858828
2013,21,80.466666666666654,76.994999999999948,112.61944444444444,51.2125522960003,18.314465487067814
2013,24,59.466666666666669,54.657333333333348,70.341666666666669,21.981541964441508,8.765431811058027
2013,27,45.800000000000004,59.902666666666626,64.249824561403514,16.00651158402296,5.783285349855405
2013,30,48.366666666666674,49.40633333333335,61.959298245614029,18.762089674622242,4.80847032182627
2013,33,63.0,39.351666666666674,53.173333333333325,13.427628973804572,3.417803478062659
2013,36,54.933333333333337,52.447333333333333,46.216491228070176,9.857112579686314,2.2589475903525513
2014,3,51.766666666666673,55.091666666666676,45.681944444444447,10.019252714213126,2.208284754078408
2014,6,48.199999999999996,57.033333333333324,60.039930555555557,17.99992632849879,8.09094212943773
2014,9,98.5,150.47366666666667,149.55972222222221,68.5779419835974,31.46696270048266
2014,12,183.0,209.34600000000009,268.63368055555554,114.79577762828075,36.02630763231133
2014,15,232.0,210.02533333333326,300.80937500000005,135.55158278454272,35.09130821384221
2014,18,75.299999999999997,188.02700000000004,203.63020833333334,98.66402249635284,31.942866986858828
2014,21,47.733333333333327,60.481333333333325,112.61944444444444,51.2125522960003,18.314465487067814
2014,24,44.899999999999999,53.054666666666634,70.341666666666669,21.981541964441508,8.765431811058027
2014,27,68.166666666666671,64.243666666666641,64.249824561403514,16.00651158402296,5.783285349855405
2014,30,77.166666666666671,58.872666666666625,61.959298245614029,18.762089674622242,4.80847032182627
2014,33,71.166666666666671,60.484999999999985,53.173333333333325,13.427628973804572,3.417803478062659
2014,36,61.233333333333327,58.494333333333351,46.216491228070176,9.857112579686314,2.2589475903525513
2015,3,63.56666666666667,57.691333333333326,45.681944444444447,10.019252714213126,2.208284754078408
2015,6,76.86666666666666,71.545666666666648,60.039930555555557,17.99992632849879,8.09094212943773
2015,9,204.66666666666666,185.09066666666678,149.55972222222221,68.5779419835974,31.46696270048266
2015,12,346.66666666666669,391.79000000000008,268.63368055555554,114.79577762828075,36.02630763231133
2015,15,255.66666666666666,361.92999999999984,300.80937500000005,135.55158278454272,35.09130821384221
2015,18,140.70000000000002,184.41200000000001,203.63020833333334,98.66402249635284,31.942866986858828
2015,21,51.699999999999996,76.473333333333315,112.61944444444444,51.2125522960003,18.314465487067814
2015,24,56.133333333333333,52.573000000000022,70.341666666666669,21.981541964441508,8.765431811058027
2015,27,nan,56.22466666666665,64.249824561403514,16.00651158402296,5.783285349855405
2015,30,nan,nan,61.959298245614029,18.762089674622242,4.80847032182627
2015,33,nan,nan,53.173333333333325,13.427628973804572,3.417803478062659
2015,36,nan,nan,46.216491228070176,9.857112579686314,2.2589475903525513
